17:27:10.258 583  [main] INFO  Es3.RegistroPresenze - a
17:27:10.259 584  [main] INFO  Es3.RegistroPresenze - l
17:27:10.259 584  [main] INFO  Es3.RegistroPresenze - l
17:27:10.259 584  [main] INFO  Es3.RegistroPresenze - i
17:27:10.259 584  [main] INFO  Es3.RegistroPresenze - @
17:27:10.260 585  [main] INFO  Es3.RegistroPresenze - 1
17:27:10.260 585  [main] INFO  Es3.RegistroPresenze - 0
17:27:10.260 585  [main] INFO  Es3.RegistroPresenze - 0
17:27:10.261 586  [main] INFO  Es3.RegistroPresenze - #
17:27:10.262 587  [main] ERROR Es3.RegistroPresenze - For input string: ""
17:27:10.263 588  [main] ERROR Es3.RegistroPresenze - For input string: ""
17:27:10.263 588  [main] ERROR Es3.RegistroPresenze - For input string: ""
17:27:10.264 589  [main] INFO  Es3.Main3 - Stampo lista recuperata
17:28:45.276 579  [main] ERROR Es3.RegistroPresenze - errore nel switch
17:28:45.284 587  [main] ERROR Es3.RegistroPresenze - errore nel switch
17:28:45.284 587  [main] ERROR Es3.RegistroPresenze - errore nel switch
17:28:45.285 588  [main] INFO  Es3.Main3 - Stampo lista recuperata
17:29:17.704 577  [main] ERROR Es3.RegistroPresenze - errore nel switchFor input string: ""
17:29:17.707 580  [main] ERROR Es3.RegistroPresenze - errore nel switchFor input string: ""
17:29:17.708 581  [main] ERROR Es3.RegistroPresenze - errore nel switchFor input string: ""
17:29:17.708 581  [main] INFO  Es3.Main3 - Stampo lista recuperata
17:31:08.196 577  [main] INFO  Es3.RegistroPresenze - M
17:31:08.206 587  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.207 588  [main] INFO  Es3.RegistroPresenze - a
17:31:08.209 590  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - r
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - i
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - e
17:31:08.211 592  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - l
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - l
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - o
